CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUS-0001,Female,1,No,No,52.0,Yes,DSL,No,No,Month-to-month,No,Mailed check,30.83,1497.28,No
CUS-0002,Female,0,No,No,15.0,Yes,Fiber optic,No,No,Two year,No,Credit card,92.93,1436.47,Yes
CUS-0003,Female,0,Yes,No,61.0,Yes,DSL,Yes,No,Month-to-month,Yes,Mailed check,30.91,1927.78,No
CUS-0004,Female,0,Yes,Yes,21.0,Yes,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,81.02,1799.38,Yes
CUS-0005,Male,0,No,No,24.0,Yes,DSL,Yes,No,Two year,Yes,Credit card,34.91,796.6,No
CUS-0006,Male,0,Yes,No,3.0,Yes,DSL,No,No,One year,Yes,Mailed check,30.11,95.09,No
CUS-0007,Female,1,No,Yes,22.0,Yes,DSL,No,Yes,Month-to-month,Yes,Credit card,32.95,752.15,No
CUS-0008,Male,0,Yes,No,53.0,Yes,DSL,No,No,Month-to-month,Yes,Credit card,30.05,1536.21,Yes
CUS-0009,Female,0,Yes,Yes,2.0,Yes,No,No internet service,No internet service,Two year,No,Credit card,29.84,60.22,Yes
CUS-0010,Female,0,Yes,Yes,30.0,Yes,DSL,No,Yes,One year,Yes,Electronic check,23.44,653.59,No
CUS-0011,Male,0,No,No,38.0,Yes,Fiber optic,No,Yes,Month-to-month,No,Mailed check,85.57,3220.81,No
CUS-0012,Male,0,Yes,Yes,2.0,No,DSL,Yes,Yes,Month-to-month,No,Electronic check,23.18,49.89,Yes
CUS-0013,Male,0,Yes,No,64.0,Yes,DSL,No,No,Two year,No,Electronic check,23.91,1506.12,No
CUS-0014,Female,0,No,No,60.0,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,39.46,2528.39,No
CUS-0015,Male,1,No,Yes,21.0,Yes,DSL,No,Yes,Two year,No,Credit card,23.06,,No
CUS-0016,Female,0,No,No,33.0,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,25.39,786.24,No
CUS-0017,Male,0,No,Yes,58.0,Yes,DSL,No,No,Two year,No,Electronic check,31.81,1874.91,No
CUS-0018,Male,0,Yes,No,22.0,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,92.2,2030.83,Yes
CUS-0019,Female,0,Yes,No,49.0,Yes,Fiber optic,Yes,No,Month-to-month,No,Credit card,83.08,3988.4,No
CUS-0020,Female,0,Yes,Yes,59.0,Yes,No,No internet service,No internet service,Two year,No,Electronic check,35.87,1955.33,No
CUS-0021,Female,0,Yes,Yes,42.0,Yes,Fiber optic,No,No,Month-to-month,No,Bank transfer,95.7,3952.44,Yes
CUS-0022,Female,0,Yes,No,60.0,Yes,Fiber optic,No,Yes,Month-to-month,No,Mailed check,84.75,4650.5,Yes
CUS-0023,Female,0,No,No,15.0,No,DSL,No,Yes,Month-to-month,Yes,Bank transfer,25.77,355.53,Yes
CUS-0024,Female,0,Yes,Yes,62.0,No,DSL,No,No,Month-to-month,Yes,Credit card,38.76,2362.71,No
CUS-0025,Female,0,Yes,No,62.0,Yes,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,36.51,2175.51,No
CUS-0026,Female,0,Yes,No,47.0,Yes,DSL,No,No,One year,Yes,Mailed check,33.96,1731.96,No
CUS-0027,Male,1,No,No,62.0,Yes,Fiber optic,No,No,Month-to-month,No,Electronic check,81.64,4935.85,No
CUS-0028,Female,0,No,No,51.0,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Credit card,88.37,4739.3,No
CUS-0029,Female,0,Yes,No,55.0,Yes,DSL,No,No,Month-to-month,Yes,Mailed check,31.19,1725.83,No
CUS-0030,Male,1,No,No,64.0,No,No,No internet service,No internet service,One year,Yes,Bank transfer,23.75,1582.04,No
CUS-0031,Female,0,No,No,3.0,Yes,Fiber optic,No,Yes,One year,Yes,Mailed check,88.96,254.08,Yes
CUS-0032,Male,1,No,No,51.0,Yes,Fiber optic,Yes,Yes,Month-to-month,No,Electronic check,92.02,5107.79,No
CUS-0033,Male,0,No,Yes,7.0,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,26.55,186.97,No
CUS-0034,Female,0,No,No,21.0,No,DSL,Yes,No,Two year,Yes,Credit card,35.62,797.59,No
CUS-0035,Male,0,No,No,39.0,Yes,DSL,No,Yes,Month-to-month,No,Credit card,36.81,1396.84,No
CUS-0036,Female,0,No,No,18.0,Yes,Fiber optic,No,No,Two year,No,Mailed check,86.47,1432.01,Yes
CUS-0037,Male,0,Yes,No,4.0,Yes,DSL,No,No,Two year,Yes,Credit card,36.77,152.19,No
CUS-0038,Male,0,Yes,No,60.0,Yes,Fiber optic,No,No,One year,Yes,Credit card,82.07,4439.42,No
CUS-0039,Male,0,No,No,14.0,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card,36.75,511.96,Yes
CUS-0040,Female,0,Yes,No,9.0,No,Fiber optic,Yes,No,Two year,Yes,Bank transfer,83.06,701.61,Yes
CUS-0041,Female,0,Yes,No,53.0,Yes,Fiber optic,No,Yes,One year,Yes,Electronic check,81.66,4438.24,No
CUS-0042,Male,1,No,Yes,2.0,Yes,No,No internet service,No internet service,One year,Yes,Credit card,32.84,,No
CUS-0043,Male,0,Yes,No,60.0,Yes,Fiber optic,No,Yes,Month-to-month,No,Mailed check,89.44,5328.19,No
CUS-0044,Female,0,No,No,71.0,Yes,Fiber optic,No,No,Month-to-month,No,Credit card,98.16,7411.91,Yes
CUS-0045,Female,0,No,Yes,44.0,Yes,Fiber optic,No,No,Month-to-month,No,Bank transfer,87.26,3845.42,No
CUS-0046,Male,0,No,No,8.0,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.74,205.75,Yes
